exp,replicate,i,j,transition,method,accuracy_top1,transport_cost,mass
exp2,7,1,2,0.5→1,mm-kl,0.6632124352331606,0.0006981976080637586,0.9892502540774007
exp2,7,1,2,0.5→1,mm-l2,0.6528497409326425,0.0005309432818083107,0.9804232858723647
exp2,7,1,2,0.5→1,partial,0.533678756476684,9.860017525040703e-05,0.7000000000000001
exp2,7,2,3,1→1.5,entropic-kl,0.4528301886792453,0.0028938632354117864,0.8509038093490258
exp2,7,2,3,1→1.5,mm-kl,0.4679245283018868,0.0004866024167014341,0.9931980086196529
exp2,7,2,3,1→1.5,mm-l2,0.47924528301886793,0.00036508843920504826,0.9849588851557051
exp2,7,2,3,1→1.5,partial,0.33584905660377357,8.989703715705771e-05,0.7000000000000001
exp2,7,3,4,1.5→2,entropic-kl,0.38544474393531,0.0029459252574817775,0.8524684906733258
exp2,7,3,4,1.5→2,mm-kl,0.4366576819407008,0.0004666714920575025,0.9938959573493531
exp2,7,3,4,1.5→2,mm-l2,0.4636118598382749,0.0003081071764214907,0.9826869353398359
exp2,7,3,4,1.5→2,partial,0.33962264150943394,6.633050977357025e-05,0.6999999999999997
exp2,8,0,1,0→0.5,entropic-kl,0.8041958041958042,0.0032701062246779716,0.8439309905066283
exp2,8,0,1,0→0.5,mm-kl,0.8041958041958042,0.0007117661546312663,0.9892693367584005
exp2,8,0,1,0→0.5,mm-l2,0.8111888111888111,0.0006309980871797322,0.9840028956029867
exp2,8,0,1,0→0.5,partial,0.6713286713286714,0.00013650799531827215,0.7000000000000002
exp2,8,1,2,0.5→1,entropic-kl,0.601010101010101,0.003240210061983307,0.8470849808060481
exp2,8,1,2,0.5→1,mm-kl,0.601010101010101,0.0006447761247060709,0.9911580862540067
exp2,8,1,2,0.5→1,mm-l2,0.6363636363636364,0.0005200665042894853,0.9837896031823943
exp2,8,1,2,0.5→1,partial,0.4898989898989899,0.00011525347586361905,0.7
exp2,8,2,3,1→1.5,entropic-kl,0.5106382978723404,0.0032529186834231233,0.8472388324509571
exp2,8,2,3,1→1.5,mm-kl,0.549645390070922,0.000604736629817697,0.9912111829455539
exp2,8,2,3,1→1.5,mm-l2,0.5780141843971631,0.0003760686614527661,0.9799682030172128
exp2,8,2,3,1→1.5,partial,0.46099290780141844,8.926960688630053e-05,0.7
exp2,8,3,4,1.5→2,entropic-kl,0.38516746411483255,0.0031943762936127674,0.8488687700250682
exp2,8,3,4,1.5→2,mm-kl,0.4138755980861244,0.00044056123808853756,0.993478148029991
exp2,8,3,4,1.5→2,mm-l2,0.4258373205741627,0.0003017801789244642,0.9816372154519121
exp2,8,3,4,1.5→2,partial,0.3133971291866029,7.457563709711687e-05,0.7000000000000005
exp2,9,0,1,0→0.5,entropic-kl,0.7142857142857143,0.0031659067958396594,0.8426742487278325
exp2,9,0,1,0→0.5,mm-kl,0.7142857142857143,0.0007388711883327878,0.9842858030308748
exp2,9,0,1,0→0.5,mm-l2,0.7278911564625851,0.0006436916855544076,0.9747944453577441
exp2,9,0,1,0→0.5,partial,0.6666666666666666,0.00013886972081092165,0.7000000000000003
exp2,9,1,2,0.5→1,entropic-kl,0.6031746031746031,0.002916190603718903,0.8507594849502351
