exp,replicate,i,j,transition,method,accuracy_top1,transport_cost,mass
exp2,4,3,4,1.5→2,mm-l2,0.774869109947644,0.0021585801280753613,0.7358934167272531
exp2,4,3,4,1.5→2,partial,0.6780104712041884,0.0032610707931195713,0.7
exp2,5,0,1,0→0.5,entropic-kl,0.7851851851851852,0.010678335642208596,0.6100555696653825
exp2,5,0,1,0→0.5,mm-kl,0.8222222222222222,0.011335097637733486,0.7480832658465028
exp2,5,0,1,0→0.5,mm-l2,0.6074074074074074,0.003080222742112607,0.6737637705706498
exp2,5,0,1,0→0.5,partial,0.6370370370370371,0.012459701260165068,0.7000000000000002
exp2,5,1,2,0.5→1,entropic-kl,0.7979274611398963,0.011225948914943194,0.6526845128193266
exp2,5,1,2,0.5→1,mm-kl,0.8082901554404145,0.010825017018698275,0.8062488982944636
exp2,5,1,2,0.5→1,mm-l2,0.7046632124352331,0.0030230652813077836,0.6995613079416049
exp2,5,1,2,0.5→1,partial,0.6580310880829016,0.0075017258306788025,0.7000000000000001
exp2,5,2,3,1→1.5,entropic-kl,0.8197879858657244,0.010797621699584058,0.6551741317102144
exp2,5,2,3,1→1.5,mm-kl,0.8374558303886925,0.01120262824439384,0.8256927665400048
exp2,5,2,3,1→1.5,mm-l2,0.6784452296819788,0.002303726715553505,0.6517760210644643
exp2,5,2,3,1→1.5,partial,0.6643109540636042,0.0070652672434502,0.6999999999999997
exp2,5,3,4,1.5→2,entropic-kl,0.9123222748815166,0.009071092240658022,0.665916936668569
exp2,5,3,4,1.5→2,mm-kl,0.9170616113744076,0.009307550729759452,0.8583258974382069
exp2,5,3,4,1.5→2,mm-l2,0.7037914691943128,0.0014424443372608208,0.6516853963436223
exp2,5,3,4,1.5→2,partial,0.7274881516587678,0.0049849240862347615,0.7
exp2,6,0,1,0→0.5,entropic-kl,0.7191780821917808,0.01377743002092716,0.6473746088979362
exp2,6,0,1,0→0.5,mm-kl,0.7465753424657534,0.012498302725597363,0.776960666385719
exp2,6,0,1,0→0.5,mm-l2,0.6712328767123288,0.00518588847453617,0.6954719555877962
exp2,6,0,1,0→0.5,partial,0.5958904109589042,0.010662088635180353,0.7000000000000002
exp2,6,1,2,0.5→1,entropic-kl,0.812206572769953,0.011409326595475668,0.7036990374236147
exp2,6,1,2,0.5→1,mm-kl,0.8403755868544601,0.009646111849244564,0.8572752403871341
exp2,6,1,2,0.5→1,mm-l2,0.7699530516431925,0.003981224443090349,0.7519462470667417
exp2,6,1,2,0.5→1,partial,0.6338028169014085,0.004999751453207893,0.7000000000000002
exp2,6,2,3,1→1.5,entropic-kl,0.9201388888888888,0.008421919748396876,0.7129636388386158
exp2,6,2,3,1→1.5,mm-kl,0.9305555555555556,0.007093248094233862,0.8970766798011668
exp2,6,2,3,1→1.5,mm-l2,0.8506944444444444,0.002377531226328171,0.7712649210958863
exp2,6,2,3,1→1.5,partial,0.7013888888888888,0.002510860944142176,0.6999999999999993
exp2,6,3,4,1.5→2,entropic-kl,0.9193154034229829,0.008424904194463461,0.6907530276735878
exp2,6,3,4,1.5→2,mm-kl,0.9266503667481663,0.00789380400650384,0.8868278994217105
exp2,6,3,4,1.5→2,mm-l2,0.7970660146699267,0.0016817490690270293,0.6977343056288012
exp2,6,3,4,1.5→2,partial,0.7212713936430318,0.003535642467459381,0.6999999999999993
exp2,7,0,1,0→0.5,entropic-kl,0.8102189781021898,0.009471133303719176,0.61667832330492
exp2,7,0,1,0→0.5,mm-kl,0.8175182481751825,0.009742127863057011,0.7565502793041599
exp2,7,0,1,0→0.5,mm-l2,0.5620437956204379,0.0016428721817041618,0.6915616308592685
exp2,7,0,1,0→0.5,partial,0.635036496350365,0.011874233424495593,0.6999999999999998
exp2,7,1,2,0.5→1,entropic-kl,0.844559585492228,0.010886851693181597,0.6348527451253405
exp2,7,1,2,0.5→1,mm-kl,0.8497409326424871,0.011301520911666389,0.7902874256225393
exp2,7,1,2,0.5→1,mm-l2,0.6580310880829016,0.001974943604427742,0.6737059058443926
exp2,7,1,2,0.5→1,partial,0.6683937823834197,0.008863788374466011,0.6999999999999998
exp2,7,2,3,1→1.5,entropic-kl,0.9169811320754717,0.009486705120742418,0.6533122138067398
exp2,7,2,3,1→1.5,mm-kl,0.9283018867924528,0.010077172210273605,0.8291610643359967
exp2,7,2,3,1→1.5,mm-l2,0.7169811320754716,0.0015823411852383205,0.6838719364533398
exp2,7,2,3,1→1.5,partial,0.7056603773584905,0.005450281446473313,0.7
exp2,7,3,4,1.5→2,entropic-kl,0.9029649595687331,0.0080295615463638,0.6805669735343787
exp2,7,3,4,1.5→2,mm-kl,0.9083557951482479,0.008023249700817126,0.8733886119675905
exp2,7,3,4,1.5→2,mm-l2,0.7304582210242587,0.0014155166023297602,0.7091183982706515
exp2,7,3,4,1.5→2,partial,0.7169811320754716,0.003447821776926296,0.6999999999999996
exp2,8,0,1,0→0.5,entropic-kl,0.6853146853146853,0.012763655706937528,0.5737518912513606
exp2,8,0,1,0→0.5,mm-kl,0.7062937062937062,0.013558930861368935,0.6995823202409363
exp2,8,0,1,0→0.5,mm-l2,0.5314685314685315,0.0026380981378919845,0.5981582765971593
exp2,8,0,1,0→0.5,partial,0.5804195804195804,0.019459306896920686,0.7000000000000002
exp2,8,1,2,0.5→1,entropic-kl,0.8636363636363636,0.010161986861365772,0.6885042187294788
exp2,8,1,2,0.5→1,mm-kl,0.8686868686868687,0.009230904470053591,0.8509778154855662
exp2,8,1,2,0.5→1,mm-l2,0.7929292929292929,0.003336204211371549,0.7530450461437102
exp2,8,1,2,0.5→1,partial,0.6868686868686869,0.004574071757963202,0.7
exp2,8,2,3,1→1.5,entropic-kl,0.8581560283687943,0.009641113706361885,0.6926856248005813
exp2,8,2,3,1→1.5,mm-kl,0.8652482269503546,0.009175593356659805,0.8696230000945948
exp2,8,2,3,1→1.5,mm-l2,0.7872340425531915,0.0026021882014920054,0.718619370176057
exp2,8,2,3,1→1.5,partial,0.6985815602836879,0.004502262122460281,0.7
exp2,8,3,4,1.5→2,entropic-kl,0.8899521531100478,0.008900144342503052,0.6840080257718264
exp2,8,3,4,1.5→2,mm-kl,0.9019138755980861,0.008473420313581984,0.8770160809382435
exp2,8,3,4,1.5→2,mm-l2,0.7607655502392344,0.0017019325489831642,0.6762867552258339
exp2,8,3,4,1.5→2,partial,0.7296650717703349,0.004346498105208121,0.7000000000000004
exp2,9,0,1,0→0.5,entropic-kl,0.7142857142857143,0.011447349100489489,0.605368372129026
exp2,9,0,1,0→0.5,mm-kl,0.7346938775510204,0.011520095140868623,0.7381140221361566
exp2,9,0,1,0→0.5,mm-l2,0.6122448979591837,0.0031985285729806585,0.6622630012874786
exp2,9,0,1,0→0.5,partial,0.6190476190476191,0.013886894609819886,0.7000000000000002
exp2,9,1,2,0.5→1,entropic-kl,0.8148148148148148,0.008944727120530564,0.6775889842102696
exp2,9,1,2,0.5→1,mm-kl,0.8201058201058201,0.009069831938170167,0.845920715559579
exp2,9,1,2,0.5→1,mm-l2,0.7248677248677249,0.0014763531522594664,0.7392295545294918
exp2,9,1,2,0.5→1,partial,0.6825396825396826,0.00388485328569595,0.6999999999999996
exp2,9,2,3,1→1.5,entropic-kl,0.8745247148288974,0.009132704289391998,0.6627081671324753
exp2,9,2,3,1→1.5,mm-kl,0.8897338403041825,0.009603887435609918,0.83938130458618
exp2,9,2,3,1→1.5,mm-l2,0.7034220532319392,0.0016023462790601822,0.7010594381550881
exp2,9,2,3,1→1.5,partial,0.688212927756654,0.005093335728636822,0.6999999999999997
exp2,9,3,4,1.5→2,entropic-kl,0.923943661971831,0.007426719065161064,0.6857871557495259
exp2,9,3,4,1.5→2,mm-kl,0.9295774647887324,0.00759455040096476,0.8834066335541755
exp2,9,3,4,1.5→2,mm-l2,0.7549295774647887,0.001306084777921386,0.7309704351249171
exp2,9,3,4,1.5→2,partial,0.7070422535211267,0.0026529839247126288,0.6999999999999998
