figure,panel,transition,method,metric,replicate,accuracy
1,exp2,0.5→1,entropic-kl,top-1,9,0.6031746031746031
1,exp2,0.5→1,mm-kl,top-1,9,0.6031746031746031
1,exp2,0.5→1,mm-l2,top-1,9,0.6243386243386243
1,exp2,0.5→1,partial,top-1,9,0.42857142857142855
1,exp2,1→1.5,entropic-kl,top-1,9,0.5209125475285171
1,exp2,1→1.5,mm-kl,top-1,9,0.4866920152091255
1,exp2,1→1.5,mm-l2,top-1,9,0.5361216730038023
1,exp2,1→1.5,partial,top-1,9,0.41064638783269963
1,exp2,1.5→2,entropic-kl,top-1,9,0.4309859154929577
1,exp2,1.5→2,mm-kl,top-1,9,0.49859154929577465
1,exp2,1.5→2,mm-l2,top-1,9,0.48732394366197185
1,exp2,1.5→2,partial,top-1,9,0.38028169014084506
